captured,field_path,fingerprint_participation,outcome_link_participation,plan_identity_participation,required,serialization,stage_trace_participation
true,recommendations[].evidence_assessment.price_volume.price_evidence.structure_state,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.price_evidence.support_resistance_state,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.price_evidence.trend_state,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.price_evidence.volatility_state,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.supports_buy,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.supports_sell,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.volume_evidence,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.volume_evidence.accumulation_score,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.volume_evidence.breakout_volume_confirmation,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.volume_evidence.distribution_score,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.volume_evidence.selloff_volume_penalty,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.volume_evidence.volume_dry_up_score,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.volume_evidence.volume_expansion_score,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.volume_evidence.volume_score,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.price_volume.volume_evidence.volume_vs_average,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.regime_adjustment_points,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.regime_reason,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.score,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.setup_quality,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.setup_quality.classification,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.setup_quality.rationale,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.setup_quality.score,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.setup_quality.setup_type,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.signals,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.signals[],true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.signals[].direction,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.signals[].label,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.signals[].points,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.signals[].rationale,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.signals[].score,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].evidence_assessment.signals[].weight,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].expected_value,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].expected_value.expected_drawdown,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].expected_value.expected_holding_period_days,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].expected_value.expected_return,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].expected_value.reasons,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].expected_value.reasons[],true,false,false,true,CANONICAL_JSON,false
